timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat,forearm_link.x,forearm_link.y,forearm_link.z,forearm_link.x_hat,forearm_link.y_hat,forearm_link.z_hat,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_1_link.x_hat,spherical_wrist_1_link.y_hat,spherical_wrist_1_link.z_hat,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
0.51100,0.00001,0.00000,-0.00000,-0.00001,-0.00000,0.00000,0.05180,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00000,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.56200,0.00001,0.00000,-0.00000,-0.00001,-0.00000,0.00000,0.05804,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00000,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.61300,0.00001,0.00000,-0.00000,-0.00001,-0.00000,0.00000,0.06427,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.66400,0.00001,0.00000,-0.00001,-0.00001,-0.00000,0.00000,0.07050,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.71500,0.00001,0.00000,-0.00001,-0.00001,-0.00000,0.00001,0.07673,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.76600,0.00001,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.08296,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.81700,0.00001,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.08919,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00000,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.86800,0.00001,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.09542,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00001,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.91900,0.00001,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.10165,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00001,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
0.97000,0.00001,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.10788,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00001,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00001,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
1.02100,0.00001,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.11412,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00002,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00001,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
1.07200,0.00002,0.00000,-0.00001,-0.00001,-0.00001,0.00001,0.12035,-0.00000,-0.02486,1.03095,-0.00000,0.00001,-1.00000,-0.00000,-0.01948,0.90257,0.00002,1.00000,0.00001,-0.00000,-0.01311,0.69219,-0.00000,0.00001,-1.00000,-0.00000,-0.00673,0.48181,0.00001,1.00000,0.00001,-0.00000,-0.00035,0.27338,0.00001,0.00001,-1.00000,-0.00000,-0.00018,0.16745,-0.00000,1.00000,0.00001,-0.00000,-0.00000,0.06152,0.00000,0.00001,-1.00000
